序号,名称,播放,弹幕数,收藏,硬币,是否完结,评分(默认0分),评分人数(人数不足为0人)
328,绿林女儿罗妮娅,965924,14323,35263,688,1,0.0,0
333,RWBY,13708317,458497,309689,19655,1,9.7,998
334,RWBY 第二季,9071906,206971,289501,15919,1,9.7,406
343,夏恋战机,425525,16698,5551,82,1,0.0,0
344,成为偶像www,76486,1245,1232,50,1,0.0,0
347,HENTAI！,1066404,35077,34809,1002,1,8.1,113
348,纳米核心 精简版,8604996,237460,725139,79709,1,0.0,0
349,功夫兔与菜包狗,2507225,58955,65763,28347,1,9.6,375
358,中国惊奇先生,25660019,315381,536580,18967,1,8.4,307
359,不可能恋爱,414096,21196,11607,2040,1,0.0,0
408,潜行吧！奈亚子 Remember My Love,1515877,192610,7488,357,1,0.0,0
413,变态王子与不笑猫,16189758,649002,848456,23987,1,9.3,1607
415,我的朋友很少,23641676,941901,1079940,20067,1,8.3,888
416,我的朋友很少NEXT,18522148,369009,864253,21822,1,8.1,592
417,琴浦小姐,2288644,53995,187747,3681,1,9.2,228
419,斩服少女,18056726,400391,595466,13962,1,9.8,4722
425,某科学的超电磁炮,21659259,1593608,2546008,145108,1,9.3,4230
426,某科学的超电磁炮 OVA,1461570,252316,135372,9317,1,9.1,390
427,某科学的超电磁炮S,15652868,695091,1828334,105434,1,9.4,2440
439,问题儿童都来自异世界？,16069557,654136,451638,16277,1,8.8,1083
441,来自风平浪静的明天,7153441,373810,481474,13165,1,9.7,5941
442,锁锁美同学@提不起劲,2224655,137734,128624,2323,1,9.2,260
443,黄金拼图,3713285,175221,308004,7965,1,9.5,424
444,魔王勇者,9186199,373725,317587,8208,1,9.4,861
445,翠星之加尔刚蒂亚,1184265,115433,35698,1892,1,9.1,262
451,恋爱研究所,5082575,265556,255369,9370,1,9.5,793
456,京骚戏画 WEB版2,396659,44262,7183,164,1,0.0,0
460,声优战队VOICESTORM7,142384,14419,1567,64,1,0.0,0
468,青春纪行,5541806,208172,288747,5940,1,9.4,907
470,魔笛MAGI,2778924,216917,230540,2575,1,9.4,416
471,魔笛MAGI 第二季,8899501,114225,374326,3034,1,9.6,381
472,夜樱四重奏,472415,83250,16012,315,1,0.0,0
473,夜樱四重奏 花之歌,1376026,37852,57538,1783,1,0.0,0
474,夜樱四重奏 星之海,106729,11129,5212,85,1,0.0,0
475,伽利略少女,1236907,52145,64181,356,1,0.0,0
476,武士弗拉明戈,1856913,56024,147041,511,1,9.1,176
479,DIABOLIK LOVERS,9366522,225866,342653,3131,1,9.2,109
480,少女骑士物语,2038951,241052,264996,2019,1,7.9,136
483,苍蓝钢铁的琶音,5324777,206303,202318,6829,1,9.5,504
485,核爆默示录,2274160,79930,101879,916,1,8.2,127
486,想成为世界最强,955223,42168,50681,414,1,0.0,0
487,PHI·BRAIN 神之谜题 第一季,916752,43622,51633,461,1,0.0,0
488,PHI·BRAIN 神之谜题  第二季,372742,11241,28490,196,1,0.0,0
489,PHI·BRAIN 神之谜题 第三季,487635,12436,32488,312,1,0.0,0
495,限制级杀手,2006817,50393,24144,1656,1,0.0,0
497,机动战士敢达SEED HD,16792616,119118,134022,21901,1,9.3,759
499,机动战士敢达SEED Destiny HD,6757750,72911,385964,4219,1,8.8,494
500,第一神拳,862046,16570,44376,677,1,0.0,0
502,第一神拳 Rising,354740,5566,6636,233,1,0.0,0
506,KY系JC小空气,105495,8088,1347,69,1,0.0,0
514,玉响～hitotose～,297060,74325,21259,641,1,9.5,137
515,玉响～more aggressive～,326679,23314,22808,969,1,0.0,0
516,跟班×服务,1002696,115706,186730,1874,1,9.5,337
517,现视研1,457312,57160,38360,522,1,9.5,106
518,现视研2,232945,19249,26296,565,1,0.0,0
519,现视研 二代目,425705,31977,85010,507,1,0.0,0
520,科学小飞侠Crowds,458787,78289,44186,1079,1,9.6,187
521,科学小飞侠 OVA（1994）,6977,7397,24,9,1,0.0,0
522,蔷薇少女,1455706,203632,86605,2021,1,9.4,329
523,蔷薇少女 梦之终结,565497,63001,33299,960,1,9.3,158
524,蔷薇少女 序曲,280647,43987,7909,262,1,0.0,0
525,新蔷薇少女,657773,91445,39001,910,1,9.3,186
526,战姬绝唱SYMPHOGEAR,822793,89672,69314,788,1,9.4,242
527,战姬绝唱SYMPHOGEAR G,1187465,40380,4617,827,1,9.6,243
528,八犬传-东方八犬异闻- 第一季,2933955,210931,175489,2791,1,9.6,328
529,八犬传-东方八犬异闻-  第二季,2012448,95575,142338,1966,1,9.7,261
530,超次元游戏 海王星,2864276,266542,185426,5276,1,9.6,898
548,特例措置团体斯特拉女子学院高等科C3部,752679,16147,76952,661,1,0.0,0
565,RDG 濒危物种少女,3843872,269807,161266,3975,1,8.6,231
566,恶魔阿萨谢尔在召唤你 第一季,8445745,243095,129833,3607,1,9.5,641
567,恶魔阿萨谢尔在召唤你 第二季,7890926,81443,135603,4356,1,9.5,413
570,人鱼又上钩,2093178,34244,69826,2082,1,9.4,120
571,恶之华,2993576,123612,314838,2925,1,8.8,267
572,KARNEVAL狂欢节,1340878,180801,90642,2726,1,9.4,234
580,写真女友,2832140,113572,145973,1636,1,9.1,123
582,王者天下,1321767,19196,78609,992,1,0.0,0
583,王者天下 第二季,1138958,8914,47700,1289,1,0.0,0
586,学活！ 第二季,311166,6616,7158,192,1,0.0,0
594,穿透幻影的太阳,530630,73170,7968,741,1,8.8,119
599,我是国王,82260,3977,3007,62,1,0.0,0
601,麻雀酒店,313756,9302,2883,80,1,0.0,0
602,天使的水果糖,118143,12884,5832,214,1,0.0,0
603,成年女性的动画时间 第一季,188502,17979,3889,195,1,0.0,0
604,成年女性的动画时间 第二季,291489,13457,12818,477,1,0.0,0
616,花牌情缘,2921692,217188,161228,4953,1,9.6,570
617,花牌情缘2,581149,63501,130963,5091,1,9.6,286
620,南家三姐妹,3476846,293237,219629,5261,1,9.5,735
621,南家三姐妹 再来一碗,1581606,77002,38958,2739,1,8.6,231
622,南家三姐妹 欢迎回来,1387905,70075,53594,2441,1,9.3,240
623,南家三姐妹 我回来了,3455875,117380,213299,7928,1,9.6,446
