序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
3906,秀逗魔导士 RETURN,0,0,0,2094,0.0,0,1
3907,秀逗魔导士 GREAT,0,0,0,1879,0.0,0,1
3908,秀逗魔导士 GORGEOUS,0,0,0,2158,0.0,0,1
3909,秀逗魔导士 EXCELLENT,0,0,0,1757,0.0,0,1
3910,秀逗魔导士 PREMIUM,0,0,0,2491,0.0,0,1
3912,Peeping Life×怪兽酒场 怪兽们的所在之处,28106,529,37,3596,0.0,0,1
3913,魔法咪路咪路,2775019,123825,1630,38830,0.0,0,1
3914,魔法咪路咪路 Golden,0,0,0,9242,0.0,0,1
3916,魔法咪路咪路 Wonderful,0,0,0,7466,0.0,0,1
3917,魔法咪路咪路 Charming,0,0,0,9398,0.0,0,1
3919,天上天下 终极格斗,0,0,0,2848,0.0,0,1
3920,天上天下 THE PAST CHAPTER,0,0,0,2999,0.0,0,1
3925,鲁邦三世：巴比伦黄金传说,51434,2116,77,3704,0.0,0,1
3927,鲁邦三世：风魔家族的阴谋,34167,800,42,3019,0.0,0,1
3930,鲁邦三世：海明威手稿之谜,25191,896,44,1877,0.0,0,1
3931,鲁邦三世：拿破仑词典争夺战,27325,705,30,1770,0.0,0,1
3932,鲁邦三世：DEAD OR ALIVE,52098,1454,139,2845,0.0,0,1
3933,鲁邦三世：活下来的魔术师,40639,568,27,2183,0.0,0,1
3934,鲁邦三世：俄罗斯之恋,27703,908,22,2142,0.0,0,1
3935,鲁邦三世：鲁邦暗杀指令,26053,1028,45,2013,0.0,0,1
3936,鲁邦三世：GREEN vs RED,34380,1271,31,2139,0.0,0,1
3937,鲁邦三世：燃烧的斩铁剑,21121,981,27,1652,0.0,0,1
3938,鲁邦三世：Master File,48026,714,26,1955,0.0,0,1
3939,鲁邦三世：追寻哈里毛的宝藏,20766,1172,21,1947,0.0,0,1
3940,鲁邦三世：天使的策略～梦的碎片是杀人的香味～,34937,1997,41,1618,0.0,0,1
3941,鲁邦三世：暮色双子星座的秘密,25113,1220,24,1755,0.0,0,1
3942,鲁邦三世：七日狂想曲,35895,1551,68,1692,0.0,0,1
3943,鲁邦三世：沃尔特P38,30529,864,35,1598,0.0,0,1
3944,鲁邦三世：雾之谜,36765,1243,80,1678,0.0,0,1
3945,鲁邦三世：炎之记忆 东京危机,31783,1177,69,2086,0.0,0,1
3946,鲁邦三世： sweet lost night~魔法的神灯是噩梦的预感~,39105,1170,80,1754,0.0,0,1
3947,鲁邦三世：爱的记号~ 不二子不幸的一天,35605,1171,49,1855,0.0,0,1
3948,鲁邦三世：1美元的战争,25197,959,57,1656,0.0,0,1
3949,鲁邦三世：通往恶魔岛,29270,1147,26,1726,0.0,0,1
3950,鲁邦三世：初次交锋,33750,1614,70,1856,0.0,0,1
3951,鲁邦三世：the Last Job,50378,1361,53,1920,0.0,0,1
3952,鲁邦三世：宝物返还大作战,26130,1298,61,1590,0.0,0,1
3953,鲁邦三世：血之刻印 永远的Mermaid,67221,2936,50,2459,0.0,0,1
