序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
7,漫研部,689338,5164,178,40779,0.0,0,1
8,漫研部~妄想突变~,411508,3077,153,16102,0.0,0,1
9,幕末Rock,551146,46492,156,30769,0.0,0,1
17,网球并不可笑嘛 第一季,1870063,10576,842,49228,0.0,0,1
18,网球并不可笑嘛 第二季,1196995,5587,827,14340,0.0,0,1
19,网球并不可笑嘛 第三季,1056381,5333,820,12708,0.0,0,1
24,STRANGE+ 第一季,1968872,18721,507,40527,0.0,0,1
25,STRANGE+ 第二季,1379376,12204,601,28603,0.0,0,1
46,FRANCESCA,863788,11480,278,31523,0.0,0,1
52,斩·赤红之瞳！,83089135,2275635,46944,1307877,8.6,3520,1
53,月刊少女野崎君,27971507,2662588,16854,1160047,9.7,7539,1
55,DRAMAtical Murder,4225022,716432,2413,176894,9.4,238,1
59,青春之旅,9251556,325123,8502,488346,9.3,732,1
75,黑执事,2031117,206001,5423,347486,9.7,3108,1
84,荷包蛋的蛋黄什么时候戳破才好？,2934241,219835,1511,64562,9.1,173,1
92,每度！浦安铁筋家族,6147060,39425,8039,24487,0.0,0,1
103,KERORO军曹,3165070,246524,3464,71657,9.7,245,1
106,迷你偶像,2256523,15340,577,15501,0.0,0,1
109,复仇者：世上最强英雄组合,1054919,77167,777,34184,9.6,103,1
110,犬神同学和猫山同学,1956485,25610,1986,65785,9.5,147,1
111,剑灵,2385731,114133,495,72571,0.0,0,1
113,我们大家的河合庄,6456004,308733,8175,245506,9.4,707,1
123,宝石宠物 Tinkle☆,396783,23774,460,35181,0.0,0,1
124,宝石宠物 Sunshine,73070,3225,29,6559,0.0,0,1
125,宝石宠物 第四季,167791,2375,34,7065,0.0,0,1
157,游☆戏☆王 GX ,4976730,268842,3302,103787,9.3,505,1
162,罗德岛战记,75140,3062,132,20086,0.0,0,1
163,罗德岛战记-英雄骑士传-,79106,1394,118,18832,0.0,0,1
164,罗德岛战记 享用罗德岛战记,291928,1276,65,5466,0.0,0,1
168,金色琴弦～Secondo Passo～,38740,631,55,24749,0.0,0,1
169,金色琴弦 Blue♪Sky,192669,13889,74,17738,0.0,0,1
170,众神的恶作剧,3398659,305462,1841,163399,9.1,136,1
173,一周的朋友。,5058533,415193,11097,477062,9.5,1057,1
177,漫画家与助手,2100414,87836,7328,343685,9.4,1748,1
183,魔法少女大战,2021699,25918,394,103846,0.0,0,1
184,NO GAME NO LIFE 游戏人生,24505826,1084828,80861,1509478,9.7,14729,1
187,棺姬嘉依卡,4608179,178054,1870,167728,0.0,0,1
188,棺姬嘉依卡 AVENGING BATTLE,3185272,63998,1116,104490,0.0,0,1
189,風雲維新大將軍【僅限港澳台地區】,300142,12600,14,11829,0.0,0,1
190,爱丝卡与罗吉的工作室 黄昏之空的炼金术士,1392815,61819,1083,81378,0.0,0,1
191,请问您今天要来点兔子吗？,4103254,348332,13305,704942,9.4,1551,1
193,龙娘七七七埋藏的宝藏,4463042,161062,1775,233787,8.9,324,1
197,目隱都市的演繹者（僅限港澳台地區）,5960226,481565,1915,316656,8.9,359,1
207,头文字D First Stage,3848048,223771,4097,111323,9.7,516,1
208,头文字D Second Stage,1419862,80749,1302,32041,9.6,120,1
209,头文字D Third Stage,550707,34631,540,23563,0.0,0,1
211,头文字D Fifth Stage,3064096,95881,1414,29869,0.0,0,1
212,头文字D Final Stage,1424231,39804,2432,27605,0.0,0,1
214,绝灭危愚少女,243035,7392,158,29234,0.0,0,1
216,DOUBLE CIRCLE,230707,4595,26,21740,0.0,0,1
218,机器人少女Z,95231,2645,148,16329,0.0,0,1
222,未来卡 搭档对战,1282362,33300,886,9513,0.0,0,1
223,信长之枪,1016325,45679,213,17647,0.0,0,1
232,超级索尼子 THE ANIMATION,1975920,69120,1085,150754,8.8,220,1
233,献给某飞行员的恋歌,1352451,55441,295,59967,8.7,109,1
235,乌瑟的穷困生活,697047,10337,214,38427,0.0,0,1
238,姐姐来了,8428050,50327,2277,222311,9.4,386,1
239,银之匙 Silver Spoon 第一季,3260539,129537,2178,127508,9.7,805,1
240,银之匙 Silver Spoon 第二季,2549297,73285,1654,62836,9.6,612,1
241,GO!GO!575,470724,8251,333,27442,0.0,0,1
242,未确认进行式,3087360,163230,5557,227400,9.4,620,1
253,世界征服 谋略之星,2631074,99075,810,90414,9.1,229,1
257,稻荷恋之歌,4084806,193792,1771,229414,9.3,261,1
281,甘城光辉游乐园,18721929,469500,18247,540802,9.3,1983,1
282,电器街的漫画店,8582906,375835,8647,215816,9.1,335,1
289,记录的地平线,5898991,268651,7901,417750,9.4,772,1
291,魔弹之王与战姬,15140521,419221,10798,355647,8.8,409,1
297,银仙,20723588,2783919,10553,508253,9.4,671,1
301,临时女友,1995501,53630,1187,193510,9.1,166,1
311,我家浴缸的二三事,17425446,250878,9576,344776,9.4,412,1
313,日常系的异能战斗,16083129,1283366,11967,590823,9.0,943,1
317,TRINITY SEVEN 七人魔法使,24777135,536845,13335,765455,8.2,696,1
321,世嘉硬件女孩,1168510,31680,1157,18045,0.0,0,1
323,大图书馆的牧羊人,4863714,278049,2853,199276,8.7,230,1
324,我，要成为双马尾。,16376487,988184,14707,433971,8.6,768,1
328,绿林女儿罗妮娅,965912,35263,688,14323,0.0,0,1
333,RWBY,13707743,309681,19655,458448,9.7,997,1
334,RWBY 第二季,9071518,289500,15919,206961,9.7,406,1
343,夏恋战机,425513,5551,82,16697,0.0,0,1
344,成为偶像www,76485,1232,50,1245,0.0,0,1
347,HENTAI！,1066390,34809,1002,35078,8.1,113,1
348,纳米核心 精简版,8604885,725138,79709,237460,0.0,0,1
349,功夫兔与菜包狗,2507119,65760,28347,58952,9.6,375,1
358,中国惊奇先生,25656481,536527,18967,315332,8.4,307,1
359,不可能恋爱,414059,11607,2040,21196,0.0,0,1
413,变态王子与不笑猫,16187317,848416,23987,648884,9.3,1607,1
415,我的朋友很少,23637235,1079775,20067,941766,8.3,887,1
416,我的朋友很少NEXT,18519272,864198,21822,368961,8.1,592,1
417,琴浦小姐,2288273,187740,3681,53971,9.2,228,1
419,斩服少女,18054130,595398,13962,400290,9.8,4717,1
425,某科学的超电磁炮,21655156,2545852,145108,1593398,9.3,4227,1
426,某科学的超电磁炮 OVA,1461327,135365,9317,252291,9.1,390,1
427,某科学的超电磁炮S,15650362,1828246,105434,694995,9.4,2436,1
439,问题儿童都来自异世界？,16065598,451607,16277,653978,8.8,1082,1
441,来自风平浪静的明天,7152397,481408,13165,373684,9.7,5940,1
442,锁锁美同学@提不起劲,2224533,128624,2323,137707,9.2,260,1
443,黄金拼图,3712752,307982,7965,175175,9.5,424,1
444,魔王勇者,9184657,317573,8208,373641,9.4,861,1
445,翠星之加尔刚蒂亚,1183853,35697,1892,115403,9.1,262,1
451,恋爱研究所,5081015,255343,9370,265480,9.5,791,1
456,京骚戏画 WEB版2,396563,7183,164,44242,0.0,0,1
460,声优战队VOICESTORM7,142379,1567,64,14419,0.0,0,1
468,青春纪行,5541021,288724,5940,208108,9.4,906,1
470,魔笛MAGI,2778225,230533,2575,216878,9.4,416,1
471,魔笛MAGI 第二季,8898242,374314,3034,114207,9.6,380,1
472,夜樱四重奏,472353,16012,315,83242,0.0,0,1
473,夜樱四重奏 花之歌,1375957,57535,1783,37844,0.0,0,1
474,夜樱四重奏 星之海,106725,5212,85,11129,0.0,0,1
475,伽利略少女,1236872,64181,356,52140,0.0,0,1
476,武士弗拉明戈,1856845,147040,511,56015,9.1,176,1
479,DIABOLIK LOVERS,9366498,342653,3131,225864,9.2,109,1
480,少女骑士物语,2038704,264981,2019,241036,7.9,136,1
483,苍蓝钢铁的琶音,5323986,202308,6829,206245,9.5,504,1
485,核爆默示录,2274078,101878,916,79922,8.2,127,1
487,PHI·BRAIN 神之谜题 第一季,916641,51633,461,43617,0.0,0,1
489,PHI·BRAIN 神之谜题 第三季,487609,32488,312,12433,0.0,0,1
495,限制级杀手,2006766,24144,1656,50390,0.0,0,1
497,机动战士敢达SEED HD,16790238,133978,21901,119059,9.3,758,1
499,机动战士敢达SEED Destiny HD,6755806,385917,4219,72889,8.8,493,1
500,第一神拳,861177,44362,677,16547,0.0,0,1
502,第一神拳 Rising,354484,6631,233,5560,0.0,0,1
506,KY系JC小空气,105491,1347,69,8087,0.0,0,1
514,玉响～hitotose～,297034,21259,641,74322,9.5,137,1
515,玉响～more aggressive～,326661,22808,969,23313,0.0,0,1
516,跟班×服务,1002513,186729,1874,115686,9.5,336,1
517,现视研1,457258,38360,522,57156,9.5,106,1
518,现视研2,232906,26296,565,19249,0.0,0,1
519,现视研 二代目,425646,85010,507,31977,0.0,0,1
520,科学小飞侠Crowds,458744,44186,1079,78283,9.6,187,1
521,科学小飞侠 OVA（1994）,6977,24,9,7397,0.0,0,1
522,蔷薇少女,1455410,86602,2021,203591,9.4,329,1
523,蔷薇少女 梦之终结,565376,33299,960,62995,9.3,158,1
524,蔷薇少女 序曲,280607,7909,262,43984,0.0,0,1
525,新蔷薇少女,657626,38996,910,91438,9.3,186,1
526,战姬绝唱SYMPHOGEAR,822686,69311,788,89663,9.4,242,1
527,战姬绝唱SYMPHOGEAR G,1187345,4617,827,40376,9.6,243,1
528,八犬传-东方八犬异闻- 第一季,2933708,175489,2791,210914,9.6,328,1
529,八犬传-东方八犬异闻-  第二季,2012320,142337,1966,95569,9.7,261,1
530,超次元游戏 海王星,2863851,185405,5276,266481,9.6,898,1
548,特例措置团体斯特拉女子学院高等科C3部,752656,76952,661,16151,0.0,0,1
565,RDG 濒危物种少女,3843716,161265,3975,269791,8.6,230,1
566,恶魔阿萨谢尔在召唤你 第一季,8444694,129831,3607,243056,9.5,641,1
567,恶魔阿萨谢尔在召唤你 第二季,7889975,135603,4356,81439,9.5,413,1
570,人鱼又上钩,2093073,69826,2082,34238,9.4,120,1
571,恶之华,2993478,314833,2925,123597,8.8,267,1
572,KARNEVAL狂欢节,1340794,90632,2726,180795,9.4,234,1
580,写真女友,2831664,145948,1636,113554,9.1,123,1
582,王者天下,1321593,78606,992,19188,0.0,0,1
583,王者天下 第二季,1138760,47694,1289,8912,0.0,0,1
586,学活！ 第二季,311145,7158,192,6616,0.0,0,1
594,穿透幻影的太阳,530593,7968,741,73169,8.8,119,1
599,我是国王,82255,3007,62,3976,0.0,0,1
601,麻雀酒店,313749,2883,80,9301,0.0,0,1
602,天使的水果糖,118133,5832,214,12884,0.0,0,1
603,成年女性的动画时间 第一季,188484,3889,195,17974,0.0,0,1
604,成年女性的动画时间 第二季,291463,12818,477,13456,0.0,0,1
616,花牌情缘,2921423,161224,4953,217156,9.6,569,1
617,花牌情缘2,580930,130959,5091,63491,9.6,286,1
620,南家三姐妹,3476092,219596,5261,293192,9.5,734,1
621,南家三姐妹 再来一碗,1581157,38958,2739,76986,8.6,231,1
622,南家三姐妹 欢迎回来,1387562,53579,2441,70064,9.3,240,1
623,南家三姐妹 我回来了,3455453,213287,7928,117369,9.6,446,1
628,Q弟侦探因幡,1586021,51869,3580,160584,9.7,236,1
631,学生会的一己之见,2500232,126732,4674,268494,9.5,653,1
632,学生会的一己之见 Lv.2,1466553,67951,2290,91048,9.1,257,1
637,GJ部,2346621,132959,5031,212239,9.5,513,1
638,失忆症,1802930,95831,2498,193781,9.0,162,1
639,闪乱神乐,955782,26536,835,96153,0.0,0,1
642,直白标题机器人动画,145783,5691,113,3601,0.0,0,1
643,AKB0048 第一季,1367656,87471,1022,38499,9.4,116,1
644,AKB0048 第二季,1132628,40901,949,22901,0.0,0,1
645,我的妹妹是大阪大妈,1097467,11735,254,38387,0.0,0,1
646,漫画少女,561043,4896,188,34659,0.0,0,1
650,石田和朝仓,1193861,8425,205,14827,0.0,0,1
656,初音岛,1277174,66461,1418,160690,9.3,139,1
657,初音岛 S.S.,425529,43703,684,35423,0.0,0,1
658,初音岛II,83498,7830,65,38253,0.0,0,1
659,初音岛III,1706342,70461,1285,64245,8.7,106,1
660,十万个冷笑话 第一季,22388356,667371,21259,246683,8.7,229,1
661,十万个冷笑话 第二季,29991478,517009,16823,194345,8.4,161,1
662,尸兄,21057582,620304,5920,204357,8.5,160,1
663,山海师,1094816,34570,8869,100235,9.6,520,0
664,神魄,496823,74059,738,32412,9.4,145,1
665,馒头日记,1769172,55089,10812,106157,9.7,512,1
666,撸时代,5392723,122971,7481,96951,9.1,212,1
667,死灵编码,2141192,70393,1966,71392,9.0,134,1
676,鸭子的生活,1332183,21197,1611,31474,9.6,126,1
678,宫河家的空腹,649942,11223,543,27911,9.0,151,1
679,笨蛋的悲剧人生,149889,2799,123,6087,0.0,0,1
682,独眼巨人少女斋枫,1296440,8735,345,32304,0.0,0,1
683,平成警察,265016,4754,103,2260,0.0,0,1
684,地狱幼稚园,154290,1877,47,6858,0.0,0,1
685,K,7325082,471556,12389,930635,9.0,1328,1
686,加速世界,6730606,554143,14295,546333,8.6,1004,1
687,樱花庄的宠物女孩,38119541,2156790,103742,1185986,9.5,4635,1
688,邻座的怪同学,15441064,779508,17149,590666,9.5,1306,1
695,创圣的大天使,566136,14824,435,82622,0.0,0,1
696,创圣的大天使EVOL,1619866,170973,1203,48067,0.0,0,1
697,这个是僵尸吗？,15349123,608299,23979,646875,9.3,1123,1
698,这个是僵尸吗？OF THE DEAD,10561391,481880,14442,245072,9.4,621,1
703,人类衰退之后,1800389,105268,4670,151859,9.6,722,1
708,爱杀宝贝 中文版,314807,4427,129,20054,0.0,0,1
709,爱杀宝贝 日语版,5152915,250380,6412,208376,9.6,651,1
710,散华礼弥,11272722,617551,12199,529009,9.2,1407,1
713,恋爱随意链接,5687806,344536,10220,293350,9.5,1391,1
714,要听爸爸的话！,9370366,536616,14587,356872,9.6,1045,1
717,迷之彼女X,160948,18386,397,38512,9.5,263,1
718,就算是哥哥有爱就没问题了对吧,20683375,912427,20816,813946,8.5,795,1
722,三人行必有我妹,7989233,379426,6158,414768,7.9,273,1
723,猫物语（黑）,2284785,67024,2877,231873,9.6,520,1
727,食梦者,3316332,219420,5840,199622,9.7,1153,1
729,食梦者。3,2560811,148930,11574,51192,9.7,626,1
731,向阳素描,192578,12136,345,29700,0.0,0,1
732,向阳素描×365,112900,10624,232,8896,0.0,0,1
733,向阳素描×☆☆☆,89832,9920,199,7735,0.0,0,1
734,向阳素描×蜂窝,244182,21288,732,9689,0.0,0,1
735,只要你说你爱我,4893185,305985,2503,245289,8.6,222,1
739,CØDE:BREAKER 法外制裁者,1243986,66274,645,102952,6.9,134,1
741,武装神姬,1323510,57730,770,89996,0.0,0,1
742,绯色的欠片 第一季,637000,28206,171,45253,0.0,0,1
744,超速变形GYRO ZETTER,412960,13132,136,5337,0.0,0,1
748,兽旋战斗MONSUNO,49225,391,4,2893,0.0,0,1
751,激战！弹珠人 第二季,57379,263,12,1646,0.0,0,1
757,女子落语,1821239,135545,2471,70268,9.3,202,1
759,恋爱与选举与巧克力,5179650,238434,4099,291711,9.0,326,1
760,夏雪密会,828946,56750,1088,74760,9.4,162,1
761,薄樱鬼,1730777,115165,1767,210184,9.2,150,1
762,薄樱鬼 碧血录,0,0,0,60696,0.0,0,1
763,薄樱鬼 黎明录,597685,49787,275,51137,0.0,0,1
764,薄樱鬼 雪华录,362984,18639,242,40492,0.0,0,1
765,薄樱鬼 番外,109827,1527,53,37881,0.0,0,1
767,魔力家族,1035047,45399,450,96427,0.0,0,1
775,希望宅邸3D 第一季,392694,3711,132,13997,0.0,0,1
776,希望宅邸3D  第二季,191854,2603,100,4441,0.0,0,1
779,Fate/Zero 第二季,9149547,763702,9585,704271,9.3,2943,1
780,坂道上的阿波罗,150552,13188,498,86857,9.5,246,1
781,钓球,707821,82125,743,47873,0.0,0,1
782,一起一起这里那里,4143823,295387,7096,307798,9.7,1152,1
783,黄昏少女×失忆,2983909,162994,6787,186904,9.7,910,1
787,夏色奇迹,640623,59028,781,67653,9.3,122,1
790,交响诗篇 第一季,384720,19766,908,57168,9.7,358,1
791,交响诗篇 AO,938613,59893,1130,19056,0.0,0,1
792,ZETMAN 超魔人,923102,39685,283,36490,0.0,0,1
793,枪械少女,860766,73652,400,32626,0.0,0,1
795,战国Collection ,424436,31916,598,23163,0.0,0,1
796,翡翠森林狼与羊秘密的朋友,167472,19784,249,7730,0.0,0,1
797,光明之心 ～幸福的面包～,485123,40689,283,30758,0.0,0,1
798,柴犬子,280335,4419,36,10126,0.0,0,1
800,圣斗士星矢 THE LOST CANVAS 冥王神话,872619,34399,1171,74560,9.6,379,1
804,金属对决 战斗陀螺 ZERO G,67305,712,20,1805,0.0,0,1
808,MINUSCULE ～小昆虫的故事～,191439,26105,356,9938,0.0,0,1
809,妖狐×仆SS,5148444,316507,8912,691100,9.4,843,1
814,在盛夏等待,2811796,193183,3788,219615,9.1,257,1
815,圣诞之吻SS,4078451,377870,6605,263951,9.6,654,1
816,圣诞之吻SS+ plus,1482118,123169,2424,76536,9.5,237,1
817,暴力宇宙海贼,1131726,73615,3916,17693,0.0,0,1
818,零之使魔,5596729,521470,10683,515315,9.2,782,1
819,零之使魔 双月骑士,4290122,402055,15645,189747,9.2,409,1
820,零之使魔 三美姬的轮舞,4089838,369793,7362,162605,8.9,264,1
821,零之使魔F,7373596,390401,13971,171540,9.2,430,1
825,BRAVE10 真田十勇士,835520,81944,237,40753,0.0,0,1
826,罗马浴场,177738,3825,76,18198,0.0,0,1
827,足球骑士,768852,22827,247,13711,0.0,0,1
829,极乐院女子高寮物语,443411,9941,214,21216,0.0,0,1
830,武装中学生,154120,3042,33,10688,0.0,0,1
831,OZUMA,71134,6504,65,4237,0.0,0,1
835,我们仍未知道那天所看见的花的名字。,16991908,1463207,102211,1804801,9.1,5480,1
836,命运石之门,18895216,1266234,84013,1437883,9.8,14540,1
842,笨蛋，测验，召唤兽,10008280,590543,16015,686361,9.5,1954,1
843,笨蛋，测验，召唤兽2,15733904,617597,21061,279070,9.4,889,1
844,日常,28324080,1373944,65463,890649,9.8,7465,1
845,花开伊吕波,2954286,286136,8485,368347,9.5,1175,1
846,电波女与青春男,4532976,320082,7446,399638,9.3,789,1
853,迷茫管家与懦弱的我,12494924,472199,17359,500918,9.4,1223,1
855,回转企鹅罐,3015379,285479,9338,118746,9.4,468,1
856,GOSICK,4698384,295957,14741,644993,9.7,3159,1
857,好想告诉你 第一季,4569270,507023,7209,389563,9.6,582,1
858,好想告诉你 第二季,3477878,205080,5035,159030,9.6,327,1
861,青之驱魔师,11770290,451300,9514,463329,8.9,914,1
862,丹特丽安的书架,2023421,127053,2619,150108,9.6,640,1
863,[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,2993393,105505,3844,299546,9.2,539,1
864,便·当,2575570,147525,2346,113832,9.3,362,1
865,食梦者玛利,436687,16520,553,77201,0.0,0,1
866,迷糊餐厅 WORKING!!,1828279,87508,2321,334158,9.5,724,1
867,迷糊餐厅 WORKING’!!,4532187,166522,5563,130048,9.4,404,1
868,纯白交响曲,4752832,311874,8202,256102,9.1,433,1
869,UN-GO ,1155594,42133,1621,118234,9.4,182,1
870,UN-GO 日记短片,114533,543,40,8921,0.0,0,1
871,UN-GO episode: 0 因果论,137670,6988,521,14507,0.0,0,1
875,请认真和我恋爱！！,5859879,167412,3583,334846,8.6,254,1
876,最终流放-银翼之法姆-,436210,47136,502,15108,0.0,0,1
877,全职猎人,6727049,458957,7132,275275,9.7,1188,1
879,猎人 剧场版 绯色的幻影,245407,13597,579,46727,0.0,0,1
887,无口的森田小姐,371798,12085,259,26519,0.0,0,1
888,无口的森田小姐 2,0,0,0,7982,0.0,0,1
889,魔法小恶魔！,1267264,14247,295,21614,0.0,0,1
892,战国☆天堂 -极-,121403,2329,16,7524,0.0,0,1
893,白兔糖,901660,51478,4563,247807,9.7,750,1
894,白兔糖 特典,353563,5783,676,28028,9.7,110,1
897,神的记事本,6239308,264382,5582,451749,8.8,647,1
898,神样DOLLS,124458,9996,173,15347,0.0,0,1
899,滑头鬼之孙,4926862,265438,5175,291015,9.3,622,1
901,SACRED SEVEN,709088,71017,322,38109,0.0,0,1
902,曾几何时天魔的黑兔,1468342,114672,1936,179126,7.7,177,1
904,猫神八百万,279271,11547,591,50226,0.0,0,1
905,R-15,2074124,168900,1246,146658,8.3,120,1
906,快盗天使TWIN ANGEL,188580,23065,164,18110,0.0,0,1
907,吸血猫,865728,24541,247,35157,0.0,0,1
908,DOUBLE-J,136574,5772,59,7666,0.0,0,1
909,刀锋战士,121029,6507,37,7731,0.0,0,1
910,COPIHAN,71982,2200,27,10546,0.0,0,1
912,怪物猎人日记 岌岌可危的猫猫村G,152136,5375,49,6021,0.0,0,1
915,A CHANNEL,703061,65847,1533,75806,9.4,189,1
916,A频道+smile,131252,3753,383,11373,0.0,0,1
919,架向星空之桥,1653194,165101,4067,211930,8.7,275,1
920,玛莉亚†狂热,886997,37112,1074,83810,9.2,194,1
921,玛莉亚†狂热 第二季,992759,68606,803,29472,9.2,130,1
922,我们没有翅膀,1234180,63603,2099,185094,9.5,530,1
923,露蒂的玩具,1623026,132577,2817,161608,8.7,282,1
926,47都道府犬,52863,1698,53,5112,0.0,0,1
929,战国鬼才传,340748,34665,630,6168,0.0,0,1
930,+TIC模型姐妹,645733,14381,735,48928,9.6,229,1
933,迷糊软网社,203334,27245,95,9620,0.0,0,1
936,和殿下一起 1分钟剧场,46280,721,21,6543,0.0,0,1
937,和殿下一起～眼罩之野心～,27812,952,13,2575,0.0,0,1
938,真的有呀！灵媒先生,335945,4397,301,29042,0.0,0,1
941,DORORON炎魔君 熊熊燃烧,151972,15104,48,5672,0.0,0,1
944,X战警,78352,2338,14,12683,0.0,0,1
945,苏希的动物园,33926,884,14,1969,0.0,0,1
946,腹黑妹妹控兄记,2382024,147158,2977,199073,8.5,296,1
947,LEVEL E,1473420,72228,1374,79060,9.6,287,1
949,超元气三姐妹,784639,43759,1044,120714,9.6,507,1
951,放浪男孩,1239530,37121,982,45865,9.2,115,1
952,恶魔奶爸,6377740,266118,9031,315576,9.6,775,1
953,分形世界,124741,6049,225,29530,0.0,0,1
954,STARRY☆SKY,398441,11160,284,74713,0.0,0,1
955,RIO RAINBOW GATE!,117849,2951,56,18633,0.0,0,1
956,金刚狼,88902,3746,24,6988,0.0,0,1
957,麻衣的魔法和家庭日,15614,266,14,2329,0.0,0,1
958,万能蔬菜卜卜侠,11857,1229,6,671,0.0,0,1
963,魔法禁书目录 第一季,16137596,1548844,55190,1183327,8.6,1921,1
964,魔法禁书目录 第二季,9701772,980066,36946,528139,8.7,1346,1
965,魔法禁书目录 剧场版,2206121,202240,14806,228830,8.7,534,1
969,会长是女仆大人！,11871791,467559,15293,630876,9.7,1649,1
971,天降之物,9615158,716402,21540,742420,9.6,1875,1
972,天降之物f,13213694,381250,28257,290992,9.6,851,1
977,吊带袜天使,4538890,185899,5875,270364,9.7,1564,1
978,荒川爆笑团,1083126,36531,2158,251574,9.6,958,1
979,荒川爆笑团2,214303,8763,802,83453,9.5,597,1
980,MM一族,2621020,204527,4685,310859,9.4,674,1
981,大神与七位伙伴,1929294,145026,3438,189013,9.3,393,1
982,花丸幼稚园,1721781,133119,3079,164508,9.4,288,1
983,刀语,1440879,91774,2311,147079,9.6,441,1
984,传说中勇者的传说,2997192,117405,4361,256793,9.6,760,1
988,尸鬼,5556577,542804,7475,390945,9.3,1467,1
990,迷途猫OVERRUN！,2454568,179991,4353,315049,8.7,298,1
991,守护猫娘绯鞠,2595263,154463,4943,292049,8.8,308,1
992,女仆咖啡厅,542086,32875,662,37027,9.5,181,1
994,STAR DRIVER 闪亮的塔科特,575778,34413,529,50048,9.4,214,1
995,海月姬,329207,22804,360,23759,9.5,134,1
996,FORTUNE ARTERIAL -赤之约定-,1177655,66229,1704,125649,9.0,169,1
1000,梦色蛋糕师,2247876,143095,2603,105175,9.6,271,1
1001,超级机器人大战OG -DIVINE WARS- 第一季,191068,8405,75,9892,0.0,0,1
1002,超级机器人大战OG -DIVINE WARS- 第二季,215610,11168,90,6706,0.0,0,1
1003,咎狗之血,1372293,102277,872,194241,8.1,102,1
1004,钢铁侠,187850,4970,33,8884,0.0,0,1
1006,一期一会~你的话语~,37628,837,60,9194,0.0,0,1
1015,王牌投手 振臂高挥,913428,99154,1057,37877,9.6,179,1
1016,王牌投手 振臂高挥～夏日大会篇～,182333,10542,154,13942,0.0,0,1
1018,二舍六房的七人,1053789,66227,4729,76478,9.6,391,1
1020,逆转监督,466626,21102,704,29871,0.0,0,1
1021,无法逃离的背叛,1494050,158633,1318,156623,8.9,146,1
1026,HEROMAN,132806,8232,126,12657,0.0,0,1
1027,棒球大联盟 第一季,692844,35498,670,11611,0.0,0,1
1028,棒球大联盟 第二季,218495,8260,91,3483,0.0,0,1
1029,棒球大联盟 第三季,190632,8766,94,3097,0.0,0,1
1030,棒球大联盟 第四季,166313,5381,99,3090,0.0,0,1
1031,棒球大联盟 第五季,197074,5208,101,2994,0.0,0,1
1032,棒球大联盟 第六季,184704,4831,119,3935,0.0,0,1
1034,极上！！超人气委员长,491532,10028,156,24935,0.0,0,1
1036,变身！公主偶像,439368,22325,277,49245,0.0,0,1
1040,交响情人梦 巴黎篇,469494,23525,542,25969,0.0,0,1
1041,交响情人梦Finale,478001,19694,532,35407,9.7,102,1
1049,由土里酱,51754,1534,45,8656,0.0,0,1
1050,青春CUP,99723,4742,114,16836,0.0,0,1
1051,怪盗丽奈,32370,447,30,4450,0.0,0,1
1056,凉宫春日的忧郁 2006版,1409061,60420,1671,196137,9.5,774,1
1057,凉宫春日的忧郁 2009版,2513816,192222,7204,262151,9.6,1822,1
1062,乃木坂春香的秘密,1517782,127990,2560,154831,8.8,119,1
1063,乃木坂春香的秘密 purezza♪,761737,81175,1386,41332,0.0,0,1
1064,DARKER THAN BLACK -黑之契约者-,2592713,134150,5459,642931,9.7,2104,1
1065,DARKER THAN BLACK -流星的双子-,689240,42842,2409,154621,9.5,973,1
1066,DARKER THAN BLACK -黑之契约者- 外传,286748,12680,1708,99956,9.6,378,1
1072,狼与香辛料 第二季,1222492,92979,7348,190896,9.7,1943,1
1073,潘朵拉之心,1993221,108594,3721,261544,9.4,622,1
1078,白色相簿,2950108,160223,3371,371225,9.1,427,1
1080,东京地震8.0,665437,60749,1696,109635,9.6,368,1
1081,猫愿三角恋,1123754,45402,1548,112041,9.3,217,1
1083,公主恋人！,3360527,158632,3769,314552,8.3,223,1
1089,钢之炼金术师 FULLMETAL ALCHEMIST,5362147,166917,21810,664777,9.8,14015,1
1090,钢之炼金术师 叹息之丘的圣星,450250,15292,3600,96704,8.9,251,1
1091,加奈日记,193707,23104,703,28960,9.4,102,1
1093,明日的与一,545348,20478,698,107667,6.0,146,1
1096,圣母在上,905076,39600,1271,51277,9.6,203,1
1097,空罐少女,644067,32131,675,88542,8.6,105,1
1099,毒蛇信条,79031,2049,37,10561,0.0,0,1
1100,迷宫塔 ～乌鲁克之盾～,251054,14798,244,20745,0.0,0,1
1101,迷宫塔 ～乌鲁克之剑～,128107,8858,147,5805,0.0,0,1
1102,黑神,315581,11047,271,49256,0.0,0,1
1112,秀逗魔导士 第一季,79280,1415,136,42551,0.0,0,1
1113,秀逗魔导士 第二季,38712,1534,44,9828,0.0,0,1
1115,秀逗魔导士 第四季 上,129338,8222,82,7404,0.0,0,1
1116,秀逗魔导士 第四季 下,104106,6217,77,7485,0.0,0,1
1117,仰望天空的少女瞳中的世界,98304,4347,78,22347,0.0,0,1
1118,源氏物语千年纪 Genji,711508,34071,625,93181,0.0,0,1
1121,科拉蒂每日的笑话,19295,493,11,2534,0.0,0,1
1122,胡子小鸡,354485,10238,363,23958,0.0,0,1
1123,阿拉德战记,1070643,85863,1423,60751,9.4,301,1
1124,BASQUASH!,108873,6653,96,3000,0.0,0,1
